Var1,AF3,AF4,AF7,AF8,AFz,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FCz,FT7,FT8,Fp1,Fp2,Fpz,Fz,Iz,O1,O2,Oz,P1,P10,P2,P3,P4,P5,P6,P7,P8,P9,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP7,TP8
018ab79008f2e342,3.02144543453877,2.72317223361791,3.11975349942058,2.33412059406725,2.9723893655223,2.80648751800375,2.57128057322223,2.0505823931904,1.87916787946943,1.57141057885863,1.37965820769618,2.05943870775697,1.96270066136836,1.67637050435294,2.06613906621329,1.49636945458141,2.00788223406288,2.27673186571767,2.94808521191638,3.49916702106527,3.22937681524168,3.44813496451937,3.12540978531028,3.07684165598416,2.78943595692408,3.11709820510993,2.48467828882133,3.28470906531325,3.25483801869944,2.93959184831691,2.53125895852212,2.23514544615132,2.11662803438096,3.47743297028942,2.42817040443604,1.88920050068822,2.96416237568203,2.43836361211836,2.48700761556221,3.43381196481866,4.30271556401071,4.59878248651451,4.62595583003916,5.44015456189643,2.07310499152508,2.48227102159567,1.9809456713377,2.15852180217873,2.50220873703358,2.17932427115027,2.73090959933929,2.65315609963829,2.80465651455476,2.09324816522028,2.99019269709011,3.93072481433193,3.20056540089953,4.38152943827807,3.03152686025991,2.3501846059843,1.45196414326188,1.40535109009401,1.54738665195348,1.99742702957564
02b9138753429402,3.08230409390898,2.80421442464048,3.67413154387139,2.72234291313854,3.05261405795761,2.65885772577065,2.45315152429479,1.99066879023771,1.79195973606232,1.60946161405555,1.4523450276973,2.34920038365264,2.19914413500019,1.93372218033723,2.07388823985679,1.51216364960343,2.09106458242869,2.52611551692445,2.84933824634087,3.19325094665392,3.09255384828192,3.62904542993427,3.09460650322184,3.17637846364679,2.9117080593464,3.18958703264669,2.52314799654796,3.13076290541955,3.11037849867207,2.86701595458916,2.5692235855334,2.24592180910112,1.93095471410267,3.18026216810012,2.39595006334291,1.7777314815975,3.0219237703834,2.90560636322763,2.69399706238726,3.23193597205641,5.60574100376714,7.22151366890272,6.9789732450597,7.79332368821359,3.13045288418249,3.38536064319813,2.25051903495524,3.14272881660676,3.13795463031196,3.53021544198453,4.60132766881367,3.46225165067854,4.38804736047389,2.56458787364661,5.09991437074408,5.68588677510937,5.50103773422867,7.16380046085555,5.18509430318696,2.82374507919107,1.52396236975428,1.48785579804624,1.95383393392717,2.30248376420675
03f53ea2afe035fd,2.57267064911397,2.76904057968449,3.60188608139999,3.01594529841483,2.87801879981683,2.47382452672073,2.66279977445596,2.1383660277933,1.82627100862479,1.55328497063884,1.39942951181443,2.00119272838347,1.93113948555159,1.83528471252966,1.91760813002638,1.94384683599542,2.0663003904309,2.48225518042434,2.98043608006989,3.01930873457479,3.1170961773917,3.3054765683451,3.26712504459177,2.94783285140106,2.95715281143936,3.13992066713203,2.14365594986964,2.96068369974072,2.99389973225576,2.72502468349429,2.91262499736518,2.49456884468686,2.16565418922412,3.15988993720455,2.55036018008329,1.92603574924816,2.99872419336118,2.67939402223367,2.33975334652326,3.21413206816532,4.41743817267708,4.72252778174661,4.92395609383586,6.29250907291977,2.42475654626893,2.56070199736418,2.44561312457575,2.80956621532557,2.11982004551518,2.91246762030164,2.64050712450092,2.94227210844916,3.56805551894642,2.01785768160253,4.22846484505676,2.92301197389232,4.03665587729393,4.07547857926627,NaN,2.45741841597654,1.61378402502509,1.48514786071408,1.64599022418324,1.55570754514208
04b28b5356eb17bd,3.10901619047547,3.01352010858292,3.48817392834385,2.663523120448,3.23496204362753,2.89221500531469,2.73830706910362,2.0862957320069,1.78594662267221,1.60447657762225,1.55126846365763,2.24375159713537,2.06984031296854,1.70816682979232,2.14914039882163,1.34387389232426,2.04643574234068,2.58485448342188,NaN,3.60902369465273,3.3238334758641,3.75547846362229,3.18974489485077,3.46043819191876,2.92856591547669,3.37018342207309,2.19212238320878,3.47709195154854,3.19578195077385,3.00767933965902,2.442486235947,2.45900965786449,2.10212302328262,3.52947965386503,2.66077097645292,1.8105037761761,3.35480947589068,2.82467949297177,2.94357252062217,3.69840509826894,4.3912546832951,4.49107997560485,4.83182526607566,5.3368152382585,2.2523712707091,2.58940124757056,1.9794113870419,2.17332499228317,2.91086145794397,2.47182602981945,4.25220867360898,2.58506557303952,4.10954171254208,2.64022373072752,3.30477825153646,3.79939143884838,3.38575047813746,5.24674861962308,3.59581745154483,1.98063311671433,1.46225040838426,1.61850167577354,1.74328171087318,2.14126367043469
08de3c5e092173e4,3.31072024658274,3.15555922952509,3.39244643385216,2.9006089782192,3.29935430484904,2.74141168454251,2.56866490114086,2.16438800568393,1.87217313620778,1.81808909851841,1.20045578550607,1.96016504035347,1.79946044800361,1.441299937526,1.76959060447867,1.52265378357229,1.55558530826588,2.26367739207513,3.13192737785855,3.69236654104714,3.56876205000202,3.82506984796019,3.40790676499148,3.41551976182997,2.98758065985619,3.30109204717897,2.7599128400617,3.5616829177347,3.49778892291104,3.06487234721081,2.66250591510813,2.71349392086876,2.04319676258169,3.75821031998664,2.34482385483746,1.92744137848241,3.17211621567966,2.92976736724641,3.1819764695981,3.54960208692332,3.41097988486264,3.61157040803554,3.46071684196657,4.89098024156053,2.13954341532599,1.77190236621245,1.59614884627117,1.51292678370381,1.79788005824789,1.88148894181676,2.47016520171061,1.90254955856476,2.77236961077695,1.47053902717994,2.52792035239212,2.8234632601921,2.5722979671074,3.50134633065532,2.72672998188102,1.94817057676334,1.1717116600357,1.31053774461535,1.42462698993529,1.35512678024535
0a0e092a0c1e6c8f,3.06644864016814,2.79031339863555,2.80793647925947,2.44505940138315,3.01723975560325,2.75543088732091,2.42434720886016,2.08515198767393,1.64891585417285,1.53860278556222,1.28099379858719,1.99389682852324,1.84758295001152,1.59095776324621,1.90818125575852,1.10864066350622,1.91916136540063,2.37688148160935,2.8122396059469,3.23993192937911,3.07448536626535,3.47950728505104,2.88655111955335,2.99306911238685,3.15530430306374,2.74546723671889,2.00684251237512,3.0463569716021,3.07138847742044,2.81424055708136,2.29332748940531,2.25520329369059,1.87778533766625,3.31998893157101,2.0712033179831,1.73305851901078,2.75836809961067,2.53857279740311,2.66244380836396,3.29798725261496,3.96204091022059,3.96426607791452,4.46186373921533,5.10420713764314,2.22056738835913,1.9283255150719,1.73076275513448,2.10087812379404,2.81954005176712,2.0403638199774,4.20352491864236,2.28791393830302,3.10845824907831,1.76429675513261,3.21716878858585,4.01421401056808,3.05073718098211,3.67665601974919,3.31502040632631,2.03016812715432,1.53934743598083,1.43195179814265,1.55632174122993,2.0521897580348
0ba1c7f1dafc1134,2.50431987748537,2.63858355739227,2.73242296129063,2.6990930423229,2.69628587847866,2.33983740184391,2.19777390806592,1.85879261770132,1.57807824746139,1.7575570216871,1.38629711795177,1.9289502561004,1.86105854516421,1.59581200414056,1.89160937317613,1.26209875730654,1.82589541942003,1.94293131363356,2.61086459431068,2.81155263623128,2.66598384131001,2.83967262832468,2.64574580095413,2.40129483063749,2.50484927304622,2.41206368039551,2.1544580162347,2.62751019708805,2.46025753045749,2.24981824641188,2.22670888877161,2.00947318618389,1.82902007009404,2.63277177607913,1.77048340875499,1.45204630763082,2.34281094893865,2.26935339183627,2.28656606645251,2.79452566147981,3.59180347522967,3.87655410134012,4.46360564406992,4.6682794170431,1.77207845521081,2.68441719198679,1.74925186048593,2.02084509948227,2.41111584419765,1.9532897556933,3.3371060511028,2.44148527838425,2.31439951958929,2.21660605783186,3.24351757231455,3.26536700508533,2.9118330448156,3.74310677569605,3.10946835338113,1.95456153857142,1.40510720836161,1.38473507087881,2.20787702004226,2.13438743578185
0bc9ee704db74104,3.32303078317231,3.11830522558128,3.61573214195307,2.75299178491502,3.19438984861008,2.74400120750425,2.55783075574348,1.99952327445738,1.80531265447779,1.58760881027031,1.51170232233647,2.15250920479727,1.97164704991214,1.71606579724608,2.00653518608133,1.36611442574875,2.71731380136225,2.54133214717655,2.95557490925044,3.55718191746443,3.2584434789811,3.67283532581567,3.11181576004121,3.32184309089282,2.89847052578664,3.20276215038593,2.48809473555116,3.17529072280124,3.15378626426769,2.91933867541021,2.57961967976129,2.39529211938271,2.03377724565841,3.42768154318187,2.4838168394264,1.85457655156695,3.28582766427808,2.67749032201862,2.62222248260044,3.50111047334743,4.10529183105186,4.33163196852311,4.76641022928651,5.47518216779153,2.26504604230143,2.38810177719141,1.8941467326168,2.31303089341784,2.73337608505416,2.59664220538255,4.64060904158872,3.07079192782024,3.6289099691117,2.38358199501138,3.69158889460819,3.85045689305138,3.63313692839906,5.38757243053903,3.49777001347813,2.10984254101784,1.72502325343286,1.69416611090486,2.07551314408478,2.05008275277667
1291ad7d784e90e5,3.01946820173433,3.00028708643276,3.09047824966832,2.65311303938214,3.14702768936288,2.96164765260268,2.61281581600747,2.20312512512879,1.93197974830525,1.63272366398985,1.48958617400982,2.21888846878327,2.00335668628501,1.66976519310995,2.1474909442652,1.26105934215276,1.64571524259439,2.39861683878001,3.01005216400024,3.50693096135918,3.2738966052828,3.51476546503611,3.06927868080764,2.98119163728433,2.68750677946132,2.85297552019654,2.35592720623555,3.16749694173811,3.17153280128022,3.04130111044393,2.41706118673352,2.33661022913701,2.15848222584715,3.48866811776061,2.16346110864119,1.8327534349649,3.07821497602572,2.89947851986436,2.93172153868437,3.52300399408114,4.12830041369082,4.32050540290572,4.06536212107761,5.11787938898454,2.29884683181302,2.53485693003214,1.77403255854042,2.145607023991,2.47028330666714,2.32436736017246,2.65232407146791,2.45819485853846,2.57283039088019,2.10535435149404,3.68329074499147,4.69236339834009,3.74359075724596,3.10553689761764,3.51554712189824,2.10873033712791,1.7089373253039,1.16622372438333,1.48765751273156,1.43219349696053
129c99e90c45f38c,3.14644350680945,3.05400653733327,4.04537364201315,3.25846228114742,3.33616660695087,2.85507263861304,2.68706201866598,2.24166900667307,1.95714485927937,1.69952347673375,1.22484440242031,2.31943263065976,2.05016664663692,1.8128768815299,2.09229395859259,1.56948502068096,1.90869062796124,2.58180294118716,3.15655342009805,3.5937660256724,3.3478377647617,3.6134131037502,3.31556095864083,3.22243265755883,3.08009598711547,2.96222640842929,2.462028033437,3.45542166458821,3.35639906654126,3.07786253374735,2.55728497721465,2.40947790013762,2.12892924626386,3.65430858226372,2.45867229895506,1.91425709618448,3.60203017509611,3.16163948243509,3.05742777474532,3.62165445113661,4.20317576775724,4.52944377399014,4.50829728507939,5.5066516613486,2.25635388221678,1.7821755833635,2.40999574862685,2.48284792872704,2.18345177755526,2.78473967391322,2.44363490555029,3.08485349398625,2.78517535930678,1.94820830061542,3.74271379400729,3.1267333793925,3.77500432242846,2.9432191396298,3.95924812998941,2.51753236493739,1.54024242012956,1.52640957131592,1.54169421734287,1.61221932148355
